Case ID,"Activity (Action, Target Information, Goals)",Beginning Timestamp,End Timestamp
P1,Target Information\Control-flow\Paths,"0:07:26,0","0:07:29,2"
P1,Goals\Check conformance\Check temporal constraints,"0:07:26,0","0:07:29,2"
P1,Target Information\Control-flow,"0:07:26,0","0:07:29,2"
P1,Goals\Check conformance,"0:07:26,0","0:07:29,2"
P1,Target Information\Control-flow\Paths,"0:07:32,0","0:07:52,3"
P1,Goals\Check conformance\Check temporal constraints,"0:07:32,0","0:07:52,3"
P1,Target Information\Control-flow,"0:07:32,0","0:07:52,3"
P1,Goals\Check conformance,"0:07:32,0","0:07:52,3"
P1,Goals\Understanding,"0:08:21,3","0:09:00,2"
P1,Goals\Interpret findings,"0:08:21,3","0:09:00,2"
P1,Action\DISCO\MAP\Changes level of detail (Paths),"0:08:21,4","0:08:31,6"
P1,Action\EXTERNAL\Consult artifacts,"0:09:02,8","0:09:22,5"
P1,Goals\Check conformance\Check temporal constraints,"0:09:02,8","0:09:22,7"
P1,Goals\Check conformance,"0:09:02,8","0:09:22,7"
P1,Action\DISCO\MAP\Inspect process map (Performance),"0:09:22,9","0:10:02,3"
P1,Target Information\Control-flow\Paths,"0:09:25,9","0:09:44,7"
P1,Target Information\Control-flow,"0:09:25,9","0:09:44,7"
P1,Target Information\Control-flow\Paths,"0:09:47,0","0:10:13,6"
P1,Target Information\Control-flow,"0:09:47,0","0:10:13,6"
P1,Action\EXTERNAL\Consult artifacts,"0:10:02,5","0:10:07,6"
P10,Action\DISCO\VARIANTS\Inspect variants,"0:00:02,2","0:03:37,3"
P10,Action\DISCO\VARIANTS,"0:00:02,2","0:03:37,3"
P10,Goals\Obtain information about log characteristics,"0:00:05,2","0:00:08,7"
P10,Goals\Obtain information about log characteristics\Have an idea of log size,"0:00:05,2","0:00:08,7"
P10,Target Information\Size of the log,"0:00:05,3","0:00:17,6"
P10,Goals\Obtain information about log characteristics,"0:00:08,8","0:00:12,8"
P10,Goals\Obtain information about log characteristics\Process context,"0:00:08,8","0:00:12,8"
P10,Goals\Obtain information about log characteristics\Process structuredness,"0:00:14,0","0:00:59,6"
P10,Goals\Obtain information about log characteristics,"0:00:14,0","0:00:59,6"
P10,Target Information\Control-flow\Structuredness of the process,"0:00:24,1","0:00:51,8"
P10,Target Information\Variants and their distribution\Variants,"0:00:24,1","0:00:51,8"
P10,Goals\Characterize behavior,"0:00:24,1","0:00:51,8"
P10,Target Information\Control-flow,"0:00:24,1","0:00:51,8"
P10,Goals\Characterize behavior\Quantify behavior,"0:00:24,1","0:00:51,8"
P10,Goals\Characterize behavior,"0:01:00,8","0:01:28,8"
P10,Target Information\Control-flow\Activity,"0:01:02,3","0:01:41,3"
P10,Target Information\Variants and their distribution\Variants,"0:01:02,3","0:01:41,3"
P10,Target Information\Mainstream behavior (Most frequent behavior),"0:01:02,3","0:02:32,8"
P10,Target Information\Control-flow,"0:01:02,3","0:01:41,3"
P10,Goals\Characterize behavior\Quantify behavior,"0:01:25,3","0:01:28,7"
P10,Goals\Point out things that are weird/interesting,"0:01:30,2","0:01:40,0"
P10,Goals\Point out things that are weird/interesting\Interesting aspects for the analysis,"0:01:30,2","0:01:40,0"
P10,Target Information\Variants and their distribution\Variants,"0:01:42,1","0:02:32,8"
P10,Goals\Understanding,"0:01:42,1","0:02:32,8"
P10,Goals\Conceptualize the process,"0:01:42,1","0:02:32,8"
P10,Target Information\Control-flow\Activity,"0:02:33,2","0:02:46,8"
P10,Target Information\Variants and their distribution\Variants,"0:02:33,2","0:02:46,8"
P10,Goals\Characterize behavior,"0:02:33,2","0:02:46,8"
P10,Target Information\Control-flow,"0:02:33,2","0:02:46,8"
P10,Goals\Make hypotheses/assumptions,"0:02:47,0","0:02:53,6"
P10,Goals\Make hypotheses/assumptions\Make assumptions,"0:02:47,0","0:02:53,6"
P10,Action\DISCO\MAP\Inspect process map (Frequency),"0:03:38,6","0:07:30,6"
P10,Target Information\Control-flow\Paths,"0:03:38,6","0:03:54,9"
P10,Target Information\Control-flow\Activity,"0:03:38,6","0:03:54,9"
P10,Target Information\Mainstream behavior (Most frequent behavior),"0:03:38,6","0:03:54,9"
P10,Target Information\Control-flow,"0:03:38,6","0:03:54,9"
P10,Goals\Characterize behavior,"0:03:44,0","0:03:54,4"
P10,Goals\Point out things that are weird/interesting,"0:03:55,0","0:04:05,0"
P10,Goals\Point out things that are weird/interesting\Struggle to understand the process,"0:03:55,0","0:04:05,0"
P10,Target Information\Control-flow\Activity,"0:04:12,0","0:04:30,5"
P10,Goals\Make hypotheses/assumptions,"0:04:12,0","0:04:30,5"
P10,Target Information\Control-flow,"0:04:12,0","0:04:30,5"
P10,Goals\Make hypotheses/assumptions\Make assumptions,"0:04:12,0","0:04:30,5"
P10,Target Information\Control-flow\Activity,"0:04:31,5","0:05:24,8"
P10,Target Information\Control-flow,"0:04:31,5","0:05:24,8"
P10,Goals\Understanding,"0:04:39,2","0:05:23,6"
P10,Goals\Conceptualize the process,"0:04:39,2","0:05:23,6"
P10,Goals\Make hypotheses/assumptions,"0:04:43,5","0:05:24,9"
P10,Goals\Make hypotheses/assumptions\Make assumptions,"0:04:43,5","0:05:24,9"
P10,Goals\Characterize behavior,"0:05:04,9","0:05:15,7"
P10,Goals\Obtain information about log characteristics\Process structuredness,"0:06:03,1","0:06:14,7"
P10,Action\DISCO\MAP\Changes level of detail (Paths),"0:06:04,9","0:06:14,2"
P10,Target Information\Control-flow\Structuredness of the process,"0:06:04,9","0:06:14,2"
P10,Target Information\Control-flow,"0:06:04,9","0:06:14,2"
P10,Action\DISCO\INSPECT STATISTICS\Inspect statistics,"0:07:31,2","0:11:50,7"
P10,Action\DISCO\INSPECT STATISTICS,"0:07:31,2","0:11:50,7"
P10,Action\DISCO\INSPECT STATISTICS\Inspect distribution,"0:07:39,3","0:07:53,4"
P10,Target Information\Control-flow\Activity,"0:07:39,3","0:07:53,4"
P10,Target Information\Control-flow,"0:07:39,3","0:07:53,4"
P10,Action\DISCO\INSPECT STATISTICS\Inspect distribution,"0:07:53,7","0:08:35,7"
P10,Target Information\Data Attributes\Resources,"0:07:53,7","0:08:35,7"
P10,Target Information\Data Attributes,"0:07:53,7","0:08:35,7"
P10,Goals\Make hypotheses/assumptions,"0:08:22,6","0:08:36,0"
P10,Goals\Make hypotheses/assumptions\Make hypothesis,"0:08:22,6","0:08:36,0"
P10,Action\DISCO\INSPECT STATISTICS\Look for attributes correlation,"0:08:36,1","0:09:28,2"
P10,Target Information\Control-flow\Activity,"0:08:36,1","0:09:28,2"
P10,Target Information\Data Attributes\Resources,"0:08:36,1","0:09:28,2"
P10,Target Information\Control-flow,"0:08:36,1","0:09:28,2"
P10,Target Information\Data Attributes,"0:08:36,1","0:09:28,2"
P10,Goals\Point out things that are weird/interesting,"0:09:13,2","0:09:27,7"
P10,Goals\Point out things that are weird/interesting\Struggle to understand the process,"0:09:13,2","0:09:27,7"
P10,Action\DISCO\INSPECT STATISTICS\Inspect distribution,"0:09:28,1","0:09:59,6"
P10,Target Information\Data Attributes\Other attributes,"0:09:28,3","0:11:35,4"
P10,Target Information\Data Attributes,"0:09:28,3","0:11:35,4"
P10,Goals\Point out things that are weird/interesting,"0:10:09,7","0:10:19,4"
P10,Goals\Point out things that are weird/interesting\Interesting aspects for the analysis,"0:10:09,7","0:10:19,4"
P10,Goals\Point out things that are weird/interesting,"0:11:07,3","0:11:35,4"
P10,Goals\Point out things that are weird/interesting\Interesting aspects for the analysis,"0:11:07,3","0:11:35,4"
P10,Action\DISCO\INSPECT STATISTICS\Inspect distribution,"0:11:14,5","0:11:35,0"
P11,Action\EXTERNAL\Consult artifacts,"0:00:12,9","0:00:56,8"
P11,Goals\Characterize behavior,"0:00:13,0","0:00:24,0"
P11,Target Information\Control-flow\Activity,"0:00:45,9","0:00:56,7"
P11,Target Information\Data Attributes\Other attributes,"0:00:45,9","0:00:56,7"
P11,Target Information\Data Attributes,"0:00:45,9","0:00:56,7"
P11,Target Information\Control-flow,"0:00:45,9","0:00:56,7"
P11,Action\DISCO\MAP\Inspect process map (Frequency),"0:00:57,4","0:01:52,3"
P11,Goals\Characterize behavior,"0:01:00,0","0:01:17,2"
P11,Action\DISCO\MAP\Changes level of detail (Activities),"0:01:03,9","0:01:07,5"
P11,Target Information\Control-flow\Activity,"0:01:07,7","0:01:18,3"
P11,Target Information\Mainstream behavior (Most frequent behavior),"0:01:07,7","0:01:18,3"
P11,Target Information\Control-flow,"0:01:07,7","0:01:18,3"
P11,Action\DISCO\MAP\Changes level of detail (Activities),"0:01:19,1","0:01:20,8"
P11,Target Information\Control-flow\Structuredness of the process,"0:01:19,1","0:01:26,2"
P11,Goals\Obtain information about log characteristics\Process structuredness,"0:01:19,1","0:01:26,2"
P11,Target Information\Control-flow,"0:01:19,1","0:01:26,2"
P11,Target Information\Control-flow\Paths,"0:01:26,3","0:01:52,1"
P11,Target Information\Control-flow\Activity,"0:01:26,3","0:01:52,1"
P11,Target Information\Control-flow,"0:01:26,3","0:01:52,1"
P11,Action\DISCO\INSPECT STATISTICS\Inspect statistics,"0:01:52,7","0:02:44,5"
P11,Action\DISCO\INSPECT STATISTICS,"0:01:52,7","0:02:44,5"
P11,Target Information\Control-flow\Activity,"0:01:56,6","0:02:10,5"
P11,Target Information\Control-flow,"0:01:56,6","0:02:10,5"
P11,Goals\Characterize behavior,"0:01:58,7","0:02:10,3"
P11,Target Information\Data Attributes\Resources,"0:02:10,7","0:02:31,3"
P11,Target Information\Data Attributes,"0:02:10,7","0:02:31,3"
P11,Goals\Characterize behavior,"0:02:11,1","0:02:30,9"
P11,Target Information\Data Attributes\Other attributes,"0:02:31,5","0:02:44,3"
P11,Target Information\Data Attributes,"0:02:31,5","0:02:44,3"
P11,Action\DISCO\VARIANTS\Inspect variants,"0:02:46,2","0:03:22,7"
P11,Target Information\Variants and their distribution\Variants,"0:02:46,2","0:03:22,7"
P11,Action\DISCO\VARIANTS,"0:02:46,2","0:03:22,7"
P11,Target Information\Mainstream behavior (Most frequent behavior),"0:02:46,4","0:03:08,7"
P11,Target Information\Control-flow\Activity,"0:02:54,9","0:03:08,6"
P11,Target Information\Control-flow,"0:02:54,9","0:03:08,6"
P11,Goals\Point out things that are weird/interesting,"0:03:08,9","0:03:47,6"
P11,Goals\Point out things that are weird/interesting\Struggle to understand the process,"0:03:08,9","0:03:47,6"
P11,Action\EXTERNAL\Consult artifacts,"0:03:24,0","0:03:58,9"
P11,Goals\Make hypotheses/assumptions,"0:03:43,3","0:03:58,8"
P11,Goals\Make hypotheses/assumptions\Make assumptions,"0:03:43,3","0:03:58,8"
P11,Goals\Understanding,"0:03:43,3","0:04:01,9"
P11,Goals\Interpret findings,"0:03:50,0","0:04:02,3"
P11,Action\DISCO\VARIANTS\Inspect variants,"0:03:59,1","0:04:07,4"
P11,Action\DISCO\VARIANTS,"0:03:59,1","0:04:07,4"
P11,Target Information\Control-flow\Activity,"0:04:02,2","0:04:06,1"
P11,Target Information\Variants and their distribution\Variants,"0:04:02,2","0:04:06,1"
P11,Target Information\Control-flow,"0:04:02,2","0:04:06,1"
P11,Goals\Characterize behavior,"0:04:02,3","0:04:06,5"
P11,Action\DISCO\MAP\Filtering\Endpoint Filter,"0:04:07,7","0:04:28,9"
P11,Action\DISCO\MAP\Filtering,"0:04:07,7","0:04:28,9"
P11,Action\EXTERNAL\Consult artifacts,"0:04:29,8","0:05:09,4"
P11,Goals\Make hypotheses/assumptions,"0:04:38,9","0:05:00,9"
P11,Goals\Make hypotheses/assumptions\Make assumptions,"0:04:38,9","0:05:00,9"
P11,Action\DISCO\MAP\Filtering\Endpoint Filter,"0:05:09,6","0:05:22,4"
P11,Goals\Data cleaning (Filtering),"0:05:09,6","0:05:22,4"
P11,Action\DISCO\MAP\Filtering,"0:05:09,6","0:05:22,4"
P11,Action\DISCO\VARIANTS\Inspect variants,"0:05:23,1","0:05:54,7"
P11,Target Information\Mainstream behavior (Most frequent behavior),"0:05:23,1","0:05:54,7"
P11,Action\DISCO\VARIANTS,"0:05:23,1","0:05:54,7"
P11,Goals\Understanding,"0:05:23,4","0:05:54,6"
P11,Goals\Interpret findings,"0:05:23,4","0:05:54,6"
P11,Goals\Check hypotheses,"0:05:23,8","0:05:32,0"
P11,Goals\Characterize behavior,"0:05:33,1","0:05:39,8"
P11,Action\DISCO\VARIANTS\Variant scrolling,"0:05:54,7","0:06:01,4"
P11,Action\DISCO\VARIANTS,"0:05:54,7","0:06:01,4"
P11,Goals\Characterize behavior,"0:06:01,4","0:06:24,7"
P11,Action\DISCO\VARIANTS\Inspect variants,"0:06:01,5","0:06:24,6"
P11,Action\DISCO\VARIANTS,"0:06:01,5","0:06:24,6"
P11,Action\DISCO\MAP\Filtering\Endpoint Filter,"0:06:24,9","0:06:29,7"
P11,Goals\Focus the analysis (Filtering),"0:06:24,9","0:06:29,7"
P11,Action\DISCO\MAP\Filtering,"0:06:24,9","0:06:29,7"
P11,Action\DISCO\VARIANTS\Inspect variants,"0:06:30,0","0:06:36,7"
P11,Action\DISCO\VARIANTS,"0:06:30,0","0:06:41,4"
P11,Goals\Characterize behavior,"0:06:30,2","0:06:36,7"
P11,Action\DISCO\VARIANTS\Variant scrolling,"0:06:36,6","0:06:41,4"
P11,Action\DISCO\MAP\Filtering\Endpoint Filter,"0:06:41,7","0:06:47,6"
P11,Goals\Focus the analysis (Filtering),"0:06:41,7","0:06:47,6"
P11,Action\DISCO\MAP\Filtering,"0:06:41,7","0:06:47,6"
P11,Action\DISCO\VARIANTS\Inspect variants,"0:06:42,0","0:07:08,8"
P11,Action\DISCO\VARIANTS,"0:06:42,0","0:07:08,8"
P11,Goals\Characterize behavior,"0:06:47,8","0:06:52,3"
P11,Goals\Make hypotheses/assumptions,"0:06:52,3","0:07:05,9"
P11,Goals\Make hypotheses/assumptions\Make assumptions,"0:06:52,3","0:07:05,7"
P11,Goals\Understanding,"0:07:06,1","0:07:08,8"
P11,Goals\Interpret findings,"0:07:06,1","0:07:08,8"
P11,Action\DISCO\INSPECT STATISTICS\Inspect statistics,"0:07:21,0","0:07:58,1"
P11,Action\DISCO\INSPECT STATISTICS,"0:07:21,0","0:07:58,1"
P11,Target Information\Temporal aspects\Events over time,"0:07:24,1","0:07:26,2"
P11,Target Information\Temporal aspects,"0:07:24,1","0:07:26,2"
P11,Target Information\Size of the log,"0:07:35,1","0:07:40,6"
P11,Goals\Characterize behavior,"0:07:36,0","0:07:56,4"
P11,Target Information\Temporal aspects\Case duration,"0:07:40,8","0:07:48,0"
P11,Target Information\Temporal aspects,"0:07:40,8","0:07:48,0"
P11,Target Information\Outliers (Exceptional behavior),"0:07:48,3","0:07:57,7"
P11,Target Information\Mainstream behavior (Most frequent behavior),"0:07:59,7","0:08:08,5"
P11,Action\DISCO\MAP\Filtering\Performance Filter,"0:08:25,8","0:09:11,7"
P11,Target Information\Mainstream behavior (Most frequent behavior),"0:08:25,8","0:09:11,7"
P11,Goals\Focus the analysis (Filtering),"0:08:25,8","0:09:11,7"
P11,Action\DISCO\MAP\Filtering,"0:08:25,8","0:09:11,7"
P11,Goals\Characterize behavior,"0:08:39,5","0:08:46,4"
P11,Goals\Make hypotheses/assumptions,"0:08:47,1","0:08:59,6"
P11,Goals\Understanding,"0:08:52,5","0:09:00,1"
P11,Goals\Interpret findings,"0:08:52,5","0:09:00,1"
P11,Action\DISCO\INSPECT STATISTICS\Inspect statistics,"0:09:12,1","0:09:25,2"
P11,Action\DISCO\INSPECT STATISTICS,"0:09:12,1","0:09:25,2"
P11,Goals\Characterize behavior,"0:09:12,7","0:09:25,2"
P11,Target Information\Temporal aspects\Median duration,"0:09:16,2","0:09:18,9"
P11,Target Information\Temporal aspects,"0:09:16,2","0:09:18,9"
P11,Target Information\Temporal aspects\Mean duration,"0:09:19,1","0:09:23,4"
P11,Target Information\Temporal aspects,"0:09:19,1","0:09:23,4"
P11,Action\DISCO\VARIANTS\Inspect variants,"0:09:25,3","0:09:33,7"
P11,Action\DISCO\VARIANTS,"0:09:25,3","0:09:33,7"
P11,Action\DISCO\MAP\Filtering\Performance Filter,"0:09:33,8","0:09:49,6"
P11,Goals\Focus the analysis (Filtering),"0:09:33,8","0:09:49,6"
P11,Action\DISCO\MAP\Filtering,"0:09:33,8","0:09:49,6"
P11,Goals\Point out things that are weird/interesting,"0:09:51,1","0:09:57,6"
P11,Goals\Point out things that are weird/interesting\Something not working in the tool,"0:09:51,1","0:09:57,6"
P11,Action\DISCO\MAP\Filtering\Endpoint Filter,"0:10:01,0","0:10:12,1"
P11,Action\DISCO\MAP\Filtering,"0:10:01,0","0:10:12,1"
P11,Action\DISCO\MAP\Filtering\Performance Filter,"0:10:12,2","0:10:14,2"
P11,Action\DISCO\MAP\Filtering,"0:10:12,2","0:10:14,2"
P11,Action\DISCO\VARIANTS\Inspect variants,"0:10:14,4","0:10:28,9"
P11,Action\DISCO\VARIANTS,"0:10:14,4","0:10:28,9"
P11,Action\DISCO\INSPECT STATISTICS\Inspect statistics,"0:10:29,2","0:10:42,5"
P11,Action\DISCO\INSPECT STATISTICS,"0:10:29,2","0:10:42,5"
P11,Goals\Characterize behavior,"0:10:31,6","0:10:37,6"
P11,Target Information\Temporal aspects\Mean duration,"0:10:32,7","0:10:36,0"
P11,Target Information\Temporal aspects,"0:10:32,7","0:10:36,0"
P11,Goals\Make hypotheses/assumptions,"0:10:38,5","0:10:44,3"
P11,Goals\Make hypotheses/assumptions\Make hypothesis,"0:10:38,5","0:10:44,3"
P11,Action\DISCO\VARIANTS\Inspect variants,"0:10:44,4","0:10:49,3"
P11,Action\DISCO\VARIANTS,"0:10:44,4","0:10:49,3"
P11,Goals\Check hypotheses,"0:10:44,9","0:11:09,4"
P11,Action\DISCO\MAP\Inspect process map (Performance),"0:10:53,3","0:12:11,8"
P11,Target Information\Control-flow\Paths,"0:10:53,3","0:12:11,8"
P11,Target Information\Control-flow\Activity,"0:10:53,3","0:12:11,8"
P11,Target Information\Control-flow,"0:10:53,3","0:12:11,8"
P11,Goals\Characterize behavior,"0:10:58,4","0:11:04,8"
P11,Target Information\Temporal aspects\Mean duration,"0:10:59,1","0:11:50,0"
P11,Target Information\Temporal aspects,"0:10:59,1","0:11:50,0"
P11,Goals\Detect anomalies\Find bottlenecks in the process,"0:11:05,2","0:11:10,4"
P11,Goals\Detect anomalies,"0:11:05,2","0:11:10,4"
P11,Goals\Compare scenarios,"0:11:12,1","0:11:30,0"
P11,Target Information\Temporal aspects\Max duration,"0:11:50,1","0:12:11,7"
P11,Target Information\Temporal aspects,"0:11:50,1","0:12:11,7"
P12,Action\DISCO\MAP\Inspect process map (Frequency),"0:00:02,2","0:00:47,8"
P12,Action\DISCO\MAP\Changes level of detail (Activities),"0:00:03,7","0:00:05,2"
P12,Action\DISCO\MAP\Changes level of detail (Activities),"0:00:13,5","0:00:24,4"
P12,Target Information\Control-flow,"0:00:15,9","0:00:47,7"
P12,Target Information\Control-flow\Paths,"0:00:15,9","0:00:47,7"
P12,Target Information\Mainstream behavior (Most frequent behavior),"0:00:15,9","0:00:47,7"
P12,Goals\Characterize behavior,"0:00:17,1","0:00:37,2"
P12,Action\DISCO\MAP\Changes level of detail (Paths),"0:00:25,6","0:00:26,8"
P12,Goals\Make hypotheses/assumptions,"0:00:38,5","0:00:45,5"
P12,Goals\Make hypotheses/assumptions\Make hypothesis,"0:00:38,5","0:00:45,5"
P12,Action\DISCO\MAP\Inspect process map (Performance),"0:00:47,9","0:01:31,2"
P12,Target Information\Temporal aspects,"0:00:51,5","0:01:30,5"
P12,Target Information\Temporal aspects\Mean duration,"0:00:51,5","0:01:30,5"
P12,Target Information\Control-flow\Paths,"0:00:51,5","0:01:30,5"
P12,Target Information\Control-flow\Activity,"0:00:51,5","0:01:30,5"
P12,Target Information\Control-flow,"0:00:51,5","0:01:30,5"
P12,Goals\Characterize behavior,"0:00:52,4","0:01:02,0"
P12,Goals\Check hypotheses,"0:01:01,2","0:01:06,0"
P12,Goals\Characterize behavior,"0:01:06,4","0:01:21,2"
P12,Action\DISCO\INSPECT STATISTICS,"0:01:33,5","0:03:51,0"
P12,Action\DISCO\INSPECT STATISTICS\Inspect statistics,"0:01:33,5","0:03:51,0"
P12,Target Information\Control-flow\Activity,"0:01:42,6","0:01:56,5"
P12,Goals\Characterize behavior,"0:01:42,6","0:01:56,5"
P12,Target Information\Control-flow,"0:01:42,6","0:01:56,5"
P12,Target Information\Data Attributes,"0:01:56,6","0:03:05,7"
P12,Target Information\Data Attributes\Resources,"0:01:56,6","0:02:18,9"
P12,Target Information\Data Attributes\Other attributes,"0:02:18,8","0:03:05,7"
P12,Target Information\Data Attributes\Patterns in the data,"0:03:06,5","0:03:46,0"
P12,Target Information\Data Attributes,"0:03:06,5","0:03:46,0"
P12,Target Information\Temporal aspects\Events over time,"0:03:06,7","0:03:45,8"
P12,Target Information\Temporal aspects,"0:03:06,7","0:03:45,8"
P12,Goals\Point out things that are weird/interesting,"0:03:20,8","0:03:56,0"
P12,Goals\Point out things that are weird/interesting\Struggle to understand the process,"0:03:20,8","0:03:56,0"
P12,Action\DISCO\MAP\Inspect process map (Frequency),"0:03:51,3","0:04:10,4"
P12,Action\DISCO\MAP\Changes level of detail (Paths),"0:03:53,8","0:03:59,9"
P12,Action\EXTERNAL\Consult artifacts,"0:04:10,9","0:05:02,5"
P12,Goals\Understanding,"0:04:39,2","0:04:52,8"
P12,Goals\Check conformance,"0:04:52,4","0:06:53,5"
P12,Goals\Check conformance\Check temporal constraints,"0:04:52,4","0:06:53,5"
P12,Target Information\Control-flow,"0:05:03,8","0:05:06,0"
P12,Target Information\Control-flow\Paths,"0:05:03,8","0:05:06,0"
P12,Action\DISCO\MAP\Filtering,"0:05:29,4","0:06:53,5"
P12,Action\DISCO\MAP\Filtering\Follower Filter,"0:05:29,4","0:06:53,5"
P12,Goals\Focus the analysis (Filtering),"0:05:29,4","0:06:53,5"
P12,Action\DISCO\Save partial results,"0:06:45,2","0:06:53,6"
P12,Action\DISCO\MAP\Inspect process map (Frequency),"0:06:54,1","0:07:02,6"
P12,Goals\Characterize behavior,"0:06:54,1","0:07:12,4"
P12,Action\DISCO\MAP\Inspect process map (Performance),"0:07:03,2","0:07:09,2"
P12,Target Information\Temporal aspects,"0:07:03,2","0:07:09,2"
P12,Target Information\Temporal aspects\Mean duration,"0:07:03,2","0:07:09,2"
P12,Action\DISCO\INSPECT STATISTICS,"0:07:10,7","0:08:39,2"
P12,Action\DISCO\INSPECT STATISTICS\Inspect statistics,"0:07:10,7","0:08:39,2"
P12,Target Information\Data Attributes,"0:07:18,0","0:07:58,6"
P12,Target Information\Data Attributes\Resources,"0:07:18,0","0:07:58,6"
P12,Action\EXTERNAL\Consult artifacts,"0:07:27,0","0:07:35,6"
P12,Goals\Make hypotheses/assumptions,"0:08:21,6","0:08:27,6"
P12,Goals\Make hypotheses/assumptions\Asking questions,"0:08:21,6","0:08:27,6"
P12,Action\EXTERNAL\Consult artifacts,"0:08:39,9","0:08:52,8"
P12,Goals\Make hypotheses/assumptions,"0:08:45,2","0:09:14,4"
P12,Goals\Make hypotheses/assumptions\Make assumptions,"0:08:45,2","0:09:14,4"
P12,Action\DISCO\INSPECT STATISTICS,"0:08:53,1","0:09:41,4"
P12,Action\DISCO\INSPECT STATISTICS\Inspect statistics,"0:08:53,1","0:09:41,4"
P12,Target Information\Data Attributes,"0:08:53,1","0:09:09,0"
P12,Target Information\Data Attributes\Resources,"0:08:53,1","0:09:09,0"
P12,Target Information\Data Attributes\Other attributes,"0:09:09,7","0:09:21,6"
P12,Target Information\Data Attributes,"0:09:09,7","0:09:21,6"
P12,Goals\Point out things that are weird/interesting,"0:09:21,2","0:09:41,4"
P12,Goals\Point out things that are weird/interesting\Interesting aspects for the analysis,"0:09:21,2","0:09:41,4"
P12,Action\DISCO\MAP\Inspect process map (Frequency),"0:09:41,3","0:09:58,0"
P12,Target Information\Control-flow\Paths,"0:09:41,3","0:09:58,0"
P12,Target Information\Control-flow\Activity,"0:09:41,3","0:09:58,0"
P12,Target Information\Control-flow,"0:09:41,3","0:09:58,0"
P12,Goals\Check conformance\Check temporal constraints,"0:09:59,0","0:10:49,0"
P12,Action\EXTERNAL\Consult artifacts,"0:09:59,0","0:10:07,1"
P12,Goals\Check conformance,"0:09:59,0","0:10:49,0"
P12,Goals\Understanding,"0:09:59,2","0:11:27,5"
P12,Action\DISCO\INSPECT STATISTICS\Inspect statistics,"0:10:07,5","0:10:16,0"
P12,Action\DISCO\INSPECT STATISTICS,"0:10:07,5","0:10:16,0"
P12,Goals\Compare scenarios,"0:10:10,4","0:10:24,0"
P12,Action\DISCO\MAP\Inspect process map (Frequency),"0:10:16,2","0:10:26,5"
